EDGE_Cred,Scheduling Policy,DNN,Batch size,Number of tiles,EDGE DSEs,SERVER DSEs,BWs,SERVER Time,EDGE Time
nxc@192.168.1.25,dynamic,vgg16,1,20,8,1,70,0.374324,0.372903
nxc@192.168.1.25,sequential,vgg16,1,20,8,1,70,0.395655,0.421570
nxc@192.168.1.25,conventional,vgg16,1,20,8,1,70,0.455867,0.490697
nxc@192.168.1.25,dynamic,vgg16,1,20,8,1,50,0.403305,0.325051
nxc@192.168.1.25,sequential,vgg16,1,20,8,1,50,0.400270,0.544882
nxc@192.168.1.25,conventional,vgg16,1,20,8,1,50,0.477481,0.593148
nxc@192.168.1.25,dynamic,vgg16,1,20,8,1,20,0.462568,0.325830
nxc@192.168.1.25,sequential,vgg16,1,20,8,1,20,0.460817,0.578129
nxc@192.168.1.25,conventional,vgg16,1,20,8,1,20,0.627267,0.812784
nxc@192.168.1.25,dynamic,vgg16,1,20,8,1,5,0.761037,0.318834
nxc@192.168.1.25,sequential,vgg16,1,20,8,1,5,1.176838,1.217675
nxc@192.168.1.25,conventional,vgg16,1,20,8,1,5,1.373768,1.617542
nxc@192.168.1.25,dynamic,vgg16,1,20,8,4,70,0.133777,0.138453
nxc@192.168.1.25,sequential,vgg16,1,20,8,4,70,0.134973,0.135155
nxc@192.168.1.25,conventional,vgg16,1,20,8,4,70,0.182504,0.182208
nxc@192.168.1.25,dynamic,vgg16,1,20,8,4,50,0.156371,0.160001
nxc@192.168.1.25,sequential,vgg16,1,20,8,4,50,0.156450,0.156012
nxc@192.168.1.25,conventional,vgg16,1,20,8,4,50,0.209248,0.209614
nxc@192.168.1.25,dynamic,vgg16,1,20,8,4,20,0.303210,0.305338
nxc@192.168.1.25,sequential,vgg16,1,20,8,4,20,0.305185,0.304779
nxc@192.168.1.25,conventional,vgg16,1,20,8,4,20,0.358352,0.360407
nxc@192.168.1.25,dynamic,vgg16,1,20,8,4,5,0.598824,0.319062
nxc@192.168.1.25,sequential,vgg16,1,20,8,4,5,1.056272,1.057005
nxc@192.168.1.25,conventional,vgg16,1,20,8,4,5,1.115333,1.122815
nxc@192.168.1.25,dynamic,vgg16,1,20,8,16,70,0.103016,0.108570
nxc@192.168.1.25,sequential,vgg16,1,20,8,16,70,0.106882,0.106661
nxc@192.168.1.25,conventional,vgg16,1,20,8,16,70,0.126891,0.127456
nxc@192.168.1.25,dynamic,vgg16,1,20,8,16,50,0.131386,0.136998
nxc@192.168.1.25,sequential,vgg16,1,20,8,16,50,0.132166,0.131529
nxc@192.168.1.25,conventional,vgg16,1,20,8,16,50,0.155762,0.155654
nxc@192.168.1.25,dynamic,vgg16,1,20,8,16,20,0.280971,0.285486
nxc@192.168.1.25,sequential,vgg16,1,20,8,16,20,0.284070,0.283709
nxc@192.168.1.25,conventional,vgg16,1,20,8,16,20,0.305133,0.305546
nxc@192.168.1.25,dynamic,vgg16,1,20,8,16,5,0.605551,0.323250
nxc@192.168.1.25,sequential,vgg16,1,20,8,16,5,1.036498,1.036008
nxc@192.168.1.25,conventional,vgg16,1,20,8,16,5,1.059117,1.058679
nxc@192.168.1.25,dynamic,vgg16,1,20,8,32,70,0.105892,0.111188
nxc@192.168.1.25,sequential,vgg16,1,20,8,32,70,0.108330,0.107838
nxc@192.168.1.25,conventional,vgg16,1,20,8,32,70,0.113878,0.113410
nxc@192.168.1.25,dynamic,vgg16,1,20,8,32,50,0.133643,0.138278
nxc@192.168.1.25,sequential,vgg16,1,20,8,32,50,0.137986,0.137784
nxc@192.168.1.25,conventional,vgg16,1,20,8,32,50,0.154651,0.154158
nxc@192.168.1.25,dynamic,vgg16,1,20,8,32,20,0.284109,0.291246
nxc@192.168.1.25,sequential,vgg16,1,20,8,32,20,0.290016,0.289748
nxc@192.168.1.25,conventional,vgg16,1,20,8,32,20,0.295315,0.295226
nxc@192.168.1.25,dynamic,vgg16,1,20,8,32,5,0.605694,0.324136
nxc@192.168.1.25,sequential,vgg16,1,20,8,32,5,1.041414,1.041136
nxc@192.168.1.25,conventional,vgg16,1,20,8,32,5,1.049628,1.049435
nxc@192.168.1.25,dynamic,vgg16,1,100,8,1,70,0.381297,0.378848
nxc@192.168.1.25,sequential,vgg16,1,100,8,1,70,0.378475,0.413331
nxc@192.168.1.25,conventional,vgg16,1,100,8,1,70,0.445697,0.496710
nxc@192.168.1.25,dynamic,vgg16,1,100,8,1,50,0.381438,0.316628
nxc@192.168.1.25,sequential,vgg16,1,100,8,1,50,0.379328,0.435287
nxc@192.168.1.25,conventional,vgg16,1,100,8,1,50,0.471522,0.585723
nxc@192.168.1.25,dynamic,vgg16,1,100,8,1,20,0.422537,0.314076
nxc@192.168.1.25,sequential,vgg16,1,100,8,1,20,0.424096,0.565862
nxc@192.168.1.25,conventional,vgg16,1,100,8,1,20,0.618456,0.808180
nxc@192.168.1.25,dynamic,vgg16,1,100,8,1,5,0.710491,0.329206
nxc@192.168.1.25,sequential,vgg16,1,100,8,1,5,1.110420,1.110223
nxc@192.168.1.25,conventional,vgg16,1,100,8,1,5,1.372295,1.583191
nxc@192.168.1.25,dynamic,vgg16,1,100,8,4,70,0.132830,0.137904
nxc@192.168.1.25,sequential,vgg16,1,100,8,4,70,0.132739,0.132613
nxc@192.168.1.25,conventional,vgg16,1,100,8,4,70,0.189435,0.188991
nxc@192.168.1.25,dynamic,vgg16,1,100,8,4,50,0.148901,0.152632
nxc@192.168.1.25,sequential,vgg16,1,100,8,4,50,0.147578,0.146931
nxc@192.168.1.25,conventional,vgg16,1,100,8,4,50,0.217417,0.220469
nxc@192.168.1.25,dynamic,vgg16,1,100,8,4,20,0.332242,0.311140
nxc@192.168.1.25,sequential,vgg16,1,100,8,4,20,0.293822,0.293831
nxc@192.168.1.25,conventional,vgg16,1,100,8,4,20,0.364259,0.400292
