EDGE_Cred,Scheduling Policy,DNN,Batch size,Number of tiles,EDGE DSEs,SERVER DSEs,BWs,SERVER Time,EDGE Time,Server recv ninsts,Edge recv ninsts
nxc@192.168.1.25,spinn,yolov3,1,100,8,1,70,0.942954,1.175118,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,1,70,1.026355,1.041441,113.000000,0.100000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,1,70,0.759287,0.656674,595.700000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,1,20,1.739579,1.974228,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,1,20,1.757791,1.767178,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,1,20,0.887563,0.624710,129.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,1,1,23.769872,24.023132,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,1,1,24.016419,24.028809,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,1,1,17.393748,0.651640,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,1,0.5,46.791510,47.147581,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,1,0.5,47.627082,47.653597,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,1,0.5,34.841064,0.618126,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,8,70,0.921067,1.156676,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,8,70,0.967474,0.981842,113.000000,0.300000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,8,70,0.334937,0.587255,128.200000,105.200000
nxc@192.168.1.25,spinn,yolov3,1,100,8,8,20,1.755454,1.993512,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,8,20,1.766221,1.774317,113.000000,0.300000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,8,20,0.888548,0.630761,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,8,1,23.697705,23.951206,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,8,1,24.216841,24.234699,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,8,1,17.425113,0.636657,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,8,0.5,47.041634,48.513702,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,8,0.5,47.788994,47.849411,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,8,0.5,34.867984,0.613088,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,16,70,0.952677,1.265114,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,16,70,1.095027,1.157225,113.000000,0.100000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,16,70,0.333336,0.574219,128.200000,108.500000
nxc@192.168.1.25,spinn,yolov3,1,100,8,16,20,1.757685,1.990262,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,16,20,1.761704,1.773452,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,16,20,0.885954,0.638870,131.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,16,1,23.704056,23.958441,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,16,1,24.121796,24.138769,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,16,1,17.394437,0.635484,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,1,100,8,16,0.5,46.827303,47.267412,113.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,1,100,8,16,0.5,47.894564,47.940172,113.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,1,100,8,16,0.5,35.243681,0.630951,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,4,100,8,1,70,3.605320,4.514496,181.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,4,100,8,1,70,3.752516,3.798872,181.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,4,100,8,1,70,2.699194,2.518873,489.900000,0.000000
nxc@192.168.1.25,spinn,yolov3,4,100,8,1,20,6.861203,7.770177,181.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,4,100,8,1,20,6.882492,6.899481,181.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,4,100,8,1,20,3.609508,2.433114,127.600000,0.000000
nxc@192.168.1.25,spinn,yolov3,4,100,8,1,1,18.904523,19.091044,0.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,4,100,8,1,1,19.248862,19.253618,0.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,4,100,8,1,1,56.134520,1.920083,0.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,4,100,8,1,0.5,37.450843,38.013888,0.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,4,100,8,1,0.5,0.000000,0.000000,0.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,4,100,8,1,0.5,42.151696,0.713004,0.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,4,100,8,8,70,3.570452,4.508539,181.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,4,100,8,8,70,3.935749,3.972890,181.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,4,100,8,8,70,1.297615,1.951783,129.300000,121.800000
nxc@192.168.1.25,spinn,yolov3,4,100,8,8,20,6.960472,7.879425,181.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,4,100,8,8,20,6.895370,6.906719,181.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,4,100,8,8,20,3.547393,2.362248,128.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,4,100,8,8,1,18.943309,19.130970,0.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,4,100,8,8,1,0.000000,0.000000,0.000000,0.000000
nxc@192.168.1.25,dynamic,yolov3,4,100,8,8,1,56.110570,1.908088,0.000000,0.000000
nxc@192.168.1.25,spinn,yolov3,4,100,8,8,0.5,37.542330,37.983550,0.000000,0.000000
nxc@192.168.1.25,spinn+pipeline,yolov3,4,100,8,8,0.5,0.000000,0.000000,0.000000,0.000000
